lon;lat;species;reference;ocean
-80.172117;25.744931;Ophiothela mirabilis;Glynn et al., 2019;Atlantic
-80.155289;25.725575;Ophiothela mirabilis;Glynn et al., 2019;Atlantic
-80.108067;26.040825;Ophiothela mirabilis;Glynn et al., 2019;Atlantic
-80.107369;26.0519;Ophiothela mirabilis;Glynn et al., 2019;Atlantic
-61.2661;13.1783;Ophiothela mirabilis;Hendler et al., 2012;Atlantic
-61.2496;13.1703;Ophiothela mirabilis;Hendler et al., 2012;Atlantic
-60.858361;14.775722;Ophiothela mirabilis;Ferry et al., 2020;Atlantic
-60.856028;14.685417;Ophiothela mirabilis;Ferry et al., 2020;Atlantic
-60.855722;14.771778;Ophiothela mirabilis;Ferry et al., 2020;Atlantic
-60.8411;11.1553;Ophiothela mirabilis;Hendler and Brugneaux 2013;Atlantic
-60.809528;14.645222;Ophiothela mirabilis;Ferry et al., 2020;Atlantic
-60.795139;14.626;Ophiothela mirabilis;Ferry et al., 2020;Atlantic
-60.5186;11.3007;Ophiothela mirabilis;Hendler and Brugneaux 2013;Atlantic
-60.5017;11.2957;Ophiothela mirabilis;Hendler and Brugneaux 2013;Atlantic
-51.9586;4.9268;Ophiothela mirabilis;Hendler and Brugneaux 2013;Atlantic
-48.6376;-26.2334;Ophiothela mirabilis;Lawley et al., 2018;Atlantic
-48.5227;-26.3838;Ophiothela mirabilis;Lawley et al., 2018;Atlantic
-48.406306;-25.413806;Ophiothela mirabilis;Bumbeer and Rocha 2016;Atlantic
-48.368007;-25.73501;Ophiothela mirabilis;Bumbeer and Rocha 2016;Atlantic
-48.3669;-27.293;Ophiothela mirabilis;Present study;Atlantic
-48.364339;-25.551974;Ophiothela mirabilis;Bumbeer and Rocha 2016;Atlantic
-48.333485;-25.783381;Ophiothela mirabilis;Bumbeer and Rocha 2016;Atlantic
-48.3206;-25.583;Ophiothela mirabilis;Bumbeer and Rocha 2016;Atlantic
-48.3161;-25.5748;Ophiothela mirabilis;Hendler et al., 2012;Atlantic
-46.296293;-24.025718;Ophiothela mirabilis;Hendler et al., 2012;Atlantic
-45.402778;-23.822222;Ophiothela mirabilis;Alitto et al., 2016;Atlantic
-45.400833;-23.813889;Ophiothela mirabilis;Alitto et al., 2016;Atlantic
-45.400278;-23.819722;Ophiothela mirabilis;Alitto et al., 2016;Atlantic
-45.398333;-23.817222;Ophiothela mirabilis;Alitto et al., 2016;Atlantic
-44.659382;-0.606031;Ophiothela mirabilis;Moura et al., 2016;Atlantic
-44.236067;-23.083403;Ophiothela mirabilis;Mantellato et al., 2016;Atlantic
-44.1925;-23.104;Ophiothela mirabilis;Mantellato et al., 2016;Atlantic
-44.1542;-23.1344;Ophiothela mirabilis;Mantellato et al., 2016;Atlantic
-44.151075;-23.133635;Ophiothela mirabilis;Mantellato et al., 2016;Atlantic
-44.1491;-23.1303;Ophiothela mirabilis;Mantellato et al., 2016;Atlantic
-43.0854;-22.9856;Ophiothela mirabilis;Hendler et al., 2012;Atlantic
-42;-22.976389;Ophiothela mirabilis;Ribeiro et al., 2017;Atlantic
-40.250217;-20.354489;Ophiothela mirabilis;Hendler et al., 2012;Atlantic
-38.783333;-3.53333;Ophiothela mirabilis;Araújo et al., 2018;Atlantic
-38.5329;-13.0093;Ophiothela mirabilis;Hendler et al., 2012;Atlantic
-34.8349;-8.0803;Ophiothela mirabilis;Mantellato et al., 2016;Atlantic
-62.631111;17.228333;Ophiothela mirabilis;Rich et al., 2020;Atlantic
-83.740965;9.112481;Ophiothela mirabilis;Alvarado and Fernández, 2005;Pacific
-83.756954;9.144282;Ophiothela mirabilis;Alvarado and Fernández, 2005;Pacific
-83.622778;8.783056;Ophiothela mirabilis;Azofeifa-Solano et al., 2017;Pacific
-77.690997;6.830393;Ophiothela mirabilis;González et al., 2020;Pacific
-77.540438;6.688638;Ophiothela mirabilis;González et al., 2020;Pacific
-77.500796;6.645237;Ophiothela mirabilis;González et al., 2020;Pacific
-77.435885;6.69729;Ophiothela mirabilis;González et al., 2020;Pacific
-77.47497;6.304344;Ophiothela mirabilis;González et al., 2020;Pacific
-77.309527;5.894226;Ophiothela mirabilis;González et al., 2020;Pacific
-77.297632;5.826319;Ophiothela mirabilis;González et al., 2020;Pacific
-77.386634;5.628093;Ophiothela mirabilis;González et al., 2020;Pacific
-77.487622;5.616987;Ophiothela mirabilis;González et al., 2020;Pacific
-77.498;5.599268;Ophiothela mirabilis;González et al., 2020;Pacific
-77.533828;5.496468;Ophiothela mirabilis;González et al., 2020;Pacific
-101.622364;17.653881;Ophiothela mirabilis;Granja-Fernández and Lopez-Perez, 2011;Pacific
-101.620689;17.650117;Ophiothela mirabilis;Granja-Fernández and Lopez-Perez, 2011;Pacific
-101.609464;17.632706;Ophiothela mirabilis;Granja-Fernández and Lopez-Perez, 2011;Pacific
-101.523956;17.620644;Ophiothela mirabilis;Granja-Fernández and Lopez-Perez, 2011;Pacific
-101.554919;17.6152;Ophiothela mirabilis;Granja-Fernández and Lopez-Perez, 2011;Pacific
-101.490722;17.532897;Ophiothela mirabilis;Granja-Fernández and Lopez-Perez, 2011;Pacific
-97.066286;15.856772;Ophiothela mirabilis;Granja-Fernández and Lopez-Perez, 2011;Pacific
-97.072139;15.853475;Ophiothela mirabilis;Granja-Fernández and Lopez-Perez, 2011;Pacific
-97.067011;15.852917;Ophiothela mirabilis;Granja-Fernández and Lopez-Perez, 2011;Pacific
-77.322209;3.966104;Ophiothela mirabilis;Neira and Cantera, 2005;Pacific
-78.207345;2.94774;Ophiothela mirabilis;Neira and Cantera, 2005;Pacific
-81.598485;4.004601;Ophiothela mirabilis;Neira and Cantera, 2005;Pacific
-105.107778;19.556667;Ophiothela mirabilis;Granja-Fernández et al., 2014;Pacific
-103.519167;18.3525;Ophiothela mirabilis;Granja-Fernández et al., 2014;Pacific
-101.658889;17.680556;Ophiothela mirabilis;Granja-Fernández et al., 2014;Pacific
-101.650833;17.675278;Ophiothela mirabilis;Granja-Fernández et al., 2014;Pacific
-101.621389;17.650278;Ophiothela mirabilis;Granja-Fernández et al., 2014;Pacific
-101.621944;17.654167;Ophiothela mirabilis;Granja-Fernández et al., 2014;Pacific
-101.554722;17.615278;Ophiothela mirabilis;Granja-Fernández et al., 2014;Pacific
-101.524167;17.619444;Ophiothela mirabilis;Granja-Fernández et al., 2014;Pacific
-99.912222;16.823056;Ophiothela mirabilis;Granja-Fernández et al., 2014;Pacific
-99.901111;16.821944;Ophiothela mirabilis;Granja-Fernández et al., 2014;Pacific
-97.071944;15.853333;Ophiothela mirabilis;Granja-Fernández et al., 2014;Pacific
-97.066944;15.852778;Ophiothela mirabilis;Granja-Fernández et al., 2014;Pacific
-97.066111;15.856667;Ophiothela mirabilis;Granja-Fernández et al., 2014;Pacific
-96.477222;15.673333;Ophiothela mirabilis;Granja-Fernández et al., 2014;Pacific
-96.236944;15.687222;Ophiothela mirabilis;Granja-Fernández et al., 2014;Pacific
-96.143611;15.736389;Ophiothela mirabilis;Granja-Fernández et al., 2014;Pacific
-96.099167;15.766667;Ophiothela mirabilis;Granja-Fernández et al., 2014;Pacific
-96.059722;15.780833;Ophiothela mirabilis;Granja-Fernández et al., 2014;Pacific
-104.304444;19.059167;Ophiothela mirabilis;Galván-Villa and Ríos-Jata, 2018;Pacific
-81.594444;3.851944;Ophiothela mirabilis;Cohen-Rengifo et al., 2009;Pacific
-105.399639;20.733306;Ophiothela mirabilis;Granja-Fernández et al., 2017;Pacific
-105.563917;20.703917;Ophiothela mirabilis;Granja-Fernández et al., 2017;Pacific
-105.565;20.701444;Ophiothela mirabilis;Granja-Fernández et al., 2017;Pacific
-105.565861;20.699472;Ophiothela mirabilis;Granja-Fernández et al., 2017;Pacific
-105.581047;20.698717;Ophiothela mirabilis;Granja-Fernández et al., 2017;Pacific
-105.582806;20.697389;Ophiothela mirabilis;Granja-Fernández et al., 2017;Pacific
-105.239292;20.600617;Ophiothela mirabilis;Granja-Fernández et al., 2017;Pacific
-105.292997;20.545786;Ophiothela mirabilis;Granja-Fernández et al., 2017;Pacific
-105.326058;20.512242;Ophiothela mirabilis;Granja-Fernández et al., 2017;Pacific
-105.392997;20.506517;Ophiothela mirabilis;Granja-Fernández et al., 2017;Pacific
-105.1119;19.556631;Ophiothela mirabilis;Granja-Fernández et al., 2017;Pacific
-104.738336;19.238414;Ophiothela mirabilis;Granja-Fernández et al., 2017;Pacific
-104.735164;19.234781;Ophiothela mirabilis;Granja-Fernández et al., 2017;Pacific
-104.755928;19.23125;Ophiothela mirabilis;Granja-Fernández et al., 2017;Pacific
-104.733106;19.229258;Ophiothela mirabilis;Granja-Fernández et al., 2017;Pacific
-104.72445;19.22025;Ophiothela mirabilis;Granja-Fernández et al., 2017;Pacific
-104.351842;19.104997;Ophiothela mirabilis;Granja-Fernández et al., 2017;Pacific
-104.393867;19.1028;Ophiothela mirabilis;Granja-Fernández et al., 2017;Pacific
-104.351044;19.100717;Ophiothela mirabilis;Granja-Fernández et al., 2017;Pacific
-104.435344;19.09675;Ophiothela mirabilis;Granja-Fernández et al., 2017;Pacific
-104.438917;19.096403;Ophiothela mirabilis;Granja-Fernández et al., 2017;Pacific
-103.519167;18.3525;Ophiothela mirabilis;Granja-Fernández et al., 2017;Pacific
-81.602892;4.004262;Ophiothela mirabilis;Cohen-Rengifo, 2017;Pacific
-80.788533;-1.93395;Ophiothela mirabilis;Malavé, 2015;Pacific
-80.7876;-1.9317;Ophiothela mirabilis;Malavé, 2015;Pacific
-80.792283;-1.9328;Ophiothela mirabilis;Malavé, 2015;Pacific
52.414704;25.668374;Ophiothela mirabilis;Al-Ansi and Al-Khayat, 1999;Indian 
30.458333;-30.783333;Ophiothela mirabilis;Clark, 1974;Indian 
103.9924;1.4022;Ophiothela mirabilis;Fujita and Irimura, 2015;Indo-Pacific
103.935467;1.429;Ophiothela mirabilis;Fujita and Irimura, 2015;Indo-Pacific
104.079583;1.422367;Ophiothela mirabilis;Fujita and Irimura, 2015;Indo-Pacific
103.6307;1.329517;Ophiothela mirabilis;Fujita and Irimura, 2015;Indo-Pacific
103.928367;1.418617;Ophiothela mirabilis;Fujita and Irimura, 2015;Indo-Pacific
151.90176;7.47795;Ophiothela mirabilis;Kerr et al., 2014;Pacific
167.116667;-20.783333;Ophiothela mirabilis;Stöhr, 2011;Pacific
167.016667;-20.75;Ophiothela mirabilis;Stöhr, 2011;Pacific
167.033333;-20.9;Ophiothela mirabilis;Stöhr, 2011;Pacific
167.05;-20.783333;Ophiothela mirabilis;Stöhr, 2011;Pacific
-40.172415;-19.950168;Ophiothela mirabilis;Gomes and da Silva, 2020;Atlantic
-44.283611;-23.117778;Ophiothela mirabilis;Mangelli et al 2021;Atlantic
125.123856;1.787009;Ophiothela mirabilis;Virgili et al., 2020;Indo-Pacific
-85.850086;10.333164;Ophiothela mirabilis;Marino et al 2020;Pacific
